url_original,path_original,status_http,titulo_detectado,tipo_crawl,tipo_plan,url_destino_sugerida,confianza,motivo,prioridad_revision,accion_sugerida,nota
https://artiani.com.mx/producto/Tazon_duo_hueso_/TAZ-02,/producto/Tazon_duo_hueso_/TAZ-02,200,"Producto - Tazon_duo_hueso_",producto_legacy,producto,,baja,requiere_revision_manual,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tazon_duo_pez/TAZ-04,/producto/Tazon_duo_pez/TAZ-04,200,"Producto - Tazon_duo_pez",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tenebrio-por-millar-agranel-/TEN-01,/producto/Tenebrio-por-millar-agranel-/TEN-01,200,"Producto - Tenebrio por millar agranel",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Termometro_digital_aderible_(calacamonia)_/TER-01,/producto/Termometro_digital_aderible_(calacamonia)_/TER-01,200,"Producto - Termometro_digital_aderible_(calacamonia)_",producto_legacy,producto,,baja,requiere_revision_manual,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Toallas-sanitarias-chicas-20-pza/TOLL-01,/producto/Toallas-sanitarias-chicas-20-pza/TOLL-01,200,"Producto - Toallas sanitarias chicas 20 pza",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Toallas-sanitarias-grandes-20-pza/TOLL-02,/producto/Toallas-sanitarias-grandes-20-pza/TOLL-02,200,"Producto - Toallas sanitarias grandes 20 pza",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tortuguero-circular-en-kit-/TOR-02,/producto/Tortuguero-circular-en-kit-/TOR-02,200,"Producto - Tortuguero circular en kit",producto_legacy,producto,,baja,requiere_revision_manual,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tortuguero-de-rinon-en-kit/TOR-01,/producto/Tortuguero-de-rinon-en-kit/TOR-01,200,"Producto - Tortuguero de rinon en kit",producto_legacy,producto,,baja,requiere_revision_manual,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Transportadora-capsula-apolo-para-mascotas/TRAP-01,/producto/Transportadora-capsula-apolo-para-mascotas/TRAP-01,200,"Producto - Transportadora capsula apolo para mascotas",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Transportadora-capsula-mercurio-para-mascotas/TRAP-02,/producto/Transportadora-capsula-mercurio-para-mascotas/TRAP-02,200,"Producto - Transportadora capsula mercurio para mascotas",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Transportadora-maletin-delta-armable-chica-/TRA-22,/producto/Transportadora-maletin-delta-armable-chica-/TRA-22,200,"Producto - Transportadora maletin delta armable chica",producto_legacy,producto,,baja,requiere_revision_manual,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Transportadora-maletin-delta-armable-mediana-/TRA-21,/producto/Transportadora-maletin-delta-armable-mediana-/TRA-21,200,"Producto - Transportadora maletin delta armable mediana",producto_legacy,producto,,baja,requiere_revision_manual,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Transportadora-mid-chica-azul-/MID-04,/producto/Transportadora-mid-chica-azul-/MID-04,200,"Producto - Transportadora mid chica azul",producto_legacy,producto,,baja,requiere_revision_manual,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Transportadora-mid-chica-gris-/MID-03,/producto/Transportadora-mid-chica-gris-/MID-03,200,"Producto - Transportadora mid chica gris",producto_legacy,producto,,baja,requiere_revision_manual,media,revisar_manual,url_indexable_sin_equivalencia_confiable
