url,path,tipo_detectado,status,content_type,titulo,fuente
https://artiani.com.mx/producto/Jaula-para-mamifero-despar/JCO-01,/producto/Jaula-para-mamifero-despar/JCO-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Jaula para mamifero despar",crawl
https://artiani.com.mx/producto/Leche-para-cachorrros-/LECH-01,/producto/Leche-para-cachorrros-/LECH-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Leche para cachorrros",crawl
https://artiani.com.mx/producto/Nupec-Croqueta-Costal-Adulto-Nutricion-Canina-Cientifica-2-kg/NUDE-01,/producto/Nupec-Croqueta-Costal-Adulto-Nutricion-Canina-Cientifica-2-kg/NUDE-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Nupec Croqueta Costal Adulto Nutricion Canina Cientifica 2 kg",crawl
https://artiani.com.mx/producto/Nupec-Croqueta-Costal-Adulto-Nutricion-Canina-Cientifica-20-kg/NUDE-03,/producto/Nupec-Croqueta-Costal-Adulto-Nutricion-Canina-Cientifica-20-kg/NUDE-03,producto_legacy,200,"text/html; charset=UTF-8","Producto - Nupec Croqueta Costal Adulto Nutricion Canina Cientifica 20 kg",crawl
https://artiani.com.mx/producto/Nupec-Croqueta-Costal-Adulto-Nutricion-Canina-Cientifica-8-kg/NUDE-02,/producto/Nupec-Croqueta-Costal-Adulto-Nutricion-Canina-Cientifica-8-kg/NUDE-02,producto_legacy,200,"text/html; charset=UTF-8","Producto - Nupec Croqueta Costal Adulto Nutricion Canina Cientifica 8 kg",crawl
https://artiani.com.mx/producto/Pecera-imen-con-mueble-con-marcos-aleman-/PERM-01,/producto/Pecera-imen-con-mueble-con-marcos-aleman-/PERM-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Pecera imen con mueble con marcos aleman",crawl
https://artiani.com.mx/producto/Pecera-panoramica-250-litros-/PEP-05,/producto/Pecera-panoramica-250-litros-/PEP-05,producto_legacy,200,"text/html; charset=UTF-8","Producto - Pecera panoramica 250 litros",crawl
https://artiani.com.mx/producto/Pecera-panoramica-52-x-37-x-60-cm-altura-100-litros-6-mm/PERA-P5060,/producto/Pecera-panoramica-52-x-37-x-60-cm-altura-100-litros-6-mm/PERA-P5060,producto_legacy,200,"text/html; charset=UTF-8","Producto - Pecera panoramica 52 x 37 x 60 cm altura 100 litros 6 mm",crawl
https://artiani.com.mx/producto/Pecera-rectangular-102.5-x-26-x-50-cm-altura-130-litros-6-mm/PERA-10050,/producto/Pecera-rectangular-102.5-x-26-x-50-cm-altura-130-litros-6-mm/PERA-10050,producto_legacy,200,"text/html; charset=UTF-8","Producto - Pecera rectangular 102.5 x 26 x 50 cm altura 130 litros 6 mm",crawl
https://artiani.com.mx/producto/Pecera-rectangular-2lts-equipo-basico/PERE-01,/producto/Pecera-rectangular-2lts-equipo-basico/PERE-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Pecera rectangular 2lts equipo basico",crawl
https://artiani.com.mx/producto/Pecera-rectangular-equipada-4-litros/PERE-02,/producto/Pecera-rectangular-equipada-4-litros/PERE-02,producto_legacy,200,"text/html; charset=UTF-8","Producto - Pecera rectangular equipada 4 litros",crawl
https://artiani.com.mx/producto/Pecera-rectangular-equipo-basico-130lts/PERE-08,/producto/Pecera-rectangular-equipo-basico-130lts/PERE-08,producto_legacy,200,"text/html; charset=UTF-8","Producto - Pecera rectangular equipo basico 130lts",crawl
https://artiani.com.mx/producto/Pecera-rectangular-triple-9-litros-equipo-basico/PERE-06,/producto/Pecera-rectangular-triple-9-litros-equipo-basico/PERE-06,producto_legacy,200,"text/html; charset=UTF-8","Producto - Pecera rectangular triple 9 litros equipo basico",crawl
https://artiani.com.mx/producto/Rascadero-colgante-chango/RAS-02CH,/producto/Rascadero-colgante-chango/RAS-02CH,producto_legacy,200,"text/html; charset=UTF-8","Producto - Rascadero colgante chango",crawl
https://artiani.com.mx/producto/Rascadero-colgante-jirafa/RAS-02,/producto/Rascadero-colgante-jirafa/RAS-02,producto_legacy,200,"text/html; charset=UTF-8","Producto - Rascadero colgante jirafa",crawl
https://artiani.com.mx/producto/Rascadero-mich-sencillo-rosa/RAS-07M,/producto/Rascadero-mich-sencillo-rosa/RAS-07M,producto_legacy,200,"text/html; charset=UTF-8","Producto - Rascadero mich sencillo rosa",crawl
https://artiani.com.mx/producto/Rascadero-poste-para-gato/RAS-01,/producto/Rascadero-poste-para-gato/RAS-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Rascadero poste para gato",crawl
https://artiani.com.mx/producto/Rodaja-snack-para-roedores-/TAR-02,/producto/Rodaja-snack-para-roedores-/TAR-02,producto_legacy,200,"text/html; charset=UTF-8","Producto - Rodaja snack para roedores",crawl
https://artiani.com.mx/producto/Snack-mini-bites-mezcla-de-hierbas-finas-/BITE-01,/producto/Snack-mini-bites-mezcla-de-hierbas-finas-/BITE-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Snack mini bites mezcla de hierbas finas",crawl
https://artiani.com.mx/producto/Snack-mix-tropical-para-rodeores/MEZ-03,/producto/Snack-mix-tropical-para-rodeores/MEZ-03,producto_legacy,200,"text/html; charset=UTF-8","Producto - Snack mix tropical para rodeores",crawl
https://artiani.com.mx/producto/Sustrato-organico-para-reptil-fibra-de-coco-2.1-Gal/SUT-04,/producto/Sustrato-organico-para-reptil-fibra-de-coco-2.1-Gal/SUT-04,producto_legacy,200,"text/html; charset=UTF-8","Producto - Sustrato organico para reptil fibra de coco 2.1 Gal",crawl
https://artiani.com.mx/producto/Sustrato-organico-para-reptil-polvillo-de-coco/SUT-05,/producto/Sustrato-organico-para-reptil-polvillo-de-coco/SUT-05,producto_legacy,200,"text/html; charset=UTF-8","Producto - Sustrato organico para reptil polvillo de coco",crawl
https://artiani.com.mx/producto/Tapa-para-pecera-de-plastico-con-puerta-40-cm/TAP-02,/producto/Tapa-para-pecera-de-plastico-con-puerta-40-cm/TAP-02,producto_legacy,200,"text/html; charset=UTF-8","Producto - Tapa para pecera de plastico con puerta 40 cm",crawl
https://artiani.com.mx/producto/Tapa-para-pecera-de-platico-con-puerta-50cm/TAP-01,/producto/Tapa-para-pecera-de-platico-con-puerta-50cm/TAP-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Tapa para pecera de platico con puerta 50cm",crawl
https://artiani.com.mx/producto/Tarta-preminum-snack-para-roedores-/TAR-01,/producto/Tarta-preminum-snack-para-roedores-/TAR-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Tarta preminum snack para roedores",crawl
https://artiani.com.mx/producto/Tortuguero-circular-en-kit-/TOR-02,/producto/Tortuguero-circular-en-kit-/TOR-02,producto_legacy,200,"text/html; charset=UTF-8","Producto - Tortuguero circular en kit",crawl
