9,General,,,,,,
CODIGO,NOMBRE DEL PRODUCTO,PRECIO,EX.,MARCA,MP,P.SUG.,ROT
HG0730,ARRECIFE 2 PIEDRAS 10X17CM.,$220.99,1,HOBBY2,1,$441.98,AAA
HG0725,ARRECIFE 2 ARCOS 35X12X20 CM.,$220.99,3,HOBBY2,1,$441.98,AAA
HG0095,BARCO JOYERO 19X9X20 CM.,$220.99,8,HOBBY2,1,$441.98,AAA
HG0470,CASTILLO CADENA 35X25X31 CM.,$220.99,8,HOBBY2,1,$441.98,AAA
HG0045,BARCO BUZO 20X10X27 CM.,$239.40,9,HOBBY2,1,$478.80,AAA
HG0775,ARRECIFE TRONCO 15X20X30 CM.,$257.82,3,HOBBY2,1,$515.64,AAA
HG1145,PIEDRA ARIZONA 25X16X52 CM.,$267.03,2,HOBBY2,1,$534.06,AAA
HG1470,BARCO 3 MASTIL 44X16X19 CM.,$272.15,2,HOBBY2,1,$544.29,AAA
HG0740,ARRECIFE ARIZONA 25X16X52 CM.,$340.69,2,HOBBY2,1,$681.38,AAA
HG1465,BARCO PULPO 50X17X46 CM.,$423.35,3,HOBBY2,1,$846.70,AAA
BD-22,ADORNO BETTAS BUZO CON ARO,$150.28,21,ZOO MED,24,$300.51,AAA
1073,BOLSA C/2 BALLENAS,$45.21,23,AQUA KRILL,25,$90.43,AAA
1072,BOLSA C/ 2 CABALLOS DE MAR,$45.21,27,AQUA KRILL,25,$90.43,AAA
1074,BOLSA CBOLSA C/2 MEDUSAS,$45.21,40,AQUA KRILL,25,$90.43,AAA
AD-65,SATELITE C/MOV. 5X6X6 CM.,$25.49,5,BIOPRO,1,$50.99,AAA
BP9983,*GEMA 500 GR. VERDE,$29.19,102,BIOPRO,40,$58.39,AAA
BP9980,*GEMA 500 GR. TRANSPARENTE,$29.61,393,BIOPRO,40,$59.22,AAA
BP9986,*GEMA 500 GR. PURPURA,$30.57,372,BIOPRO,40,$61.15,AA
BP9982,*GEMA 500 GR. AQUA,$38.79,156,BIOPRO,40,$77.58,AAA
BP9987,*GEMA 500 GR. MULTI,$38.79,181,BIOPRO,40,$77.58,AAA
BP9985,*GEMA 500 GR. CAFE,$38.79,320,BIOPRO,40,$77.58,AAA
BP2150,AD.PLASTICO FLUORESCENTES,$45.48,76,BIOPRO,200,$90.51,AAA
BP2128,AD.CORAL FLUORESCENTE(OF),$50.26,77,BIOPRO,120,$100.38,AAA
BP2136,AD.CABALLITO DE MAR FLUOR.,$53.24,479,BIOPRO,192,$106.39,AAA
BP2131,*AD.MEDUSA CH.FLUORESCENTE,$53.24,881,BIOPRO,120,$106.39,AAA
BP2125,AD.4 PLANTAS FLUORESCENTE,$57.47,276,BIOPRO,180,$114.75,AAA
BP2134,*AD.OJO DE BURBUJA FLUOR.,$59.46,246,BIOPRO,120,$118.83,AAA
BP2124,AD.2 PLANTAS+2 HONGOS FLUOR.,$63.20,92,BIOPRO,192,$126.34,AAA
BP2141,MEDUSA CANDY DE LATEX,$63.44,59,BIOPRO,120,$126.76,AAA
BP2137,AD.IDOLO MORO FLUORESCENTE,$63.44,137,BIOPRO,120,$126.76,AAA
BP2139,*AD.PEZ PAYASO FLUORESCENTE,$68.67,104,BIOPRO,120,$137.28,AAA
BP2130,AD.MEDUSA MED.FLUORESCENTE,$68.67,284,BIOPRO,120,$137.28,AAA
BP2133,AD.PEZ LEON FLUORESCENTE,$68.92,220,BIOPRO,96,$137.70,AAA
BP2135,AD.MANTARRAYA FLUORESCENTE,$70.36,87,BIOPRO,120,$140.28,AAA
BP2138,*AD.PEZ CIRUJANO FLUORESCENTE,$75.64,201,BIOPRO,120,$151.22,AAA
AD-68,MOLINO ASTRO. VERDE 12X7X9CM.,$76.49,2,BIOPRO,1,$152.98,AAA
BP2129,AD.MEDUSA GDE.FLUORESCENTE,$77.63,210,BIOPRO,120,$155.08,AAA
BP2148,ANEMONAS CH. S/PIEDRA,$78.32,67,BIOPRO,48,$156.15,AAA
1225,DINOSAURIO MUEVE MANOS 15X8X14CM.,$91.79,1,BIOPRO,1,$183.58,AAA
BP2132,AD.DRAGON FLUOR.(OF),$105.74,35,BIOPRO,48,$211.49,AAA
BP2127,AD.JARDIN HONGOS FLUOR.,$108.73,51,BIOPRO,120,$217.28,AAA
BP2126,AD.6 PLANTAS+3 HONGOS FLUOR.,$114.70,117,BIOPRO,120,$229.30,AAA
BP2146,FLOR DE LOTO LATEX FLUOR.,$121.67,69,BIOPRO,100,$243.24,AAA
CW0100,PECES DE PLASTICO (20),$121.80,6,BIOPRO,60,$243.60,AAA
BP2147,ANEMONA TENTACULOS (OF),$143.07,113,BIOPRO,120,$286.14,AAA
CA31250,CUEVA VOLCANICA CH.,$20.63,225,HOBBY PET,,$41.27,AAA
CA31252,CUEVA VOLCANICA GDE.,$29.22,26,HOBBY PET,,$58.44,AAA
CA31258,PIEDRA CON PLANTAS,$31.69,69,HOBBY PET,1,$63.38,AAA
CA31259,PIEDRA C/PLANTAS SURTIDA,$32.19,366,HOBBY PET,1,$64.38,AAA
CA31254,CUEVA VOLCANICA XL,$38.87,49,HOBBY PET,1,$77.74,AAA
CA31260,PIEDRA CON HONGO,$50.19,27,HOBBY PET,1,$100.38,AAA
CA31256,PIEDRA CORAL LARGO,$59.45,16,HOBBY PET,1,$118.90,AAA
CA31262,CUEVA CON PLANTAS,$64.62,27,HOBBY PET,1,$129.24,AAA
CA31264,PUENTE CON PLANTAS,$107.54,75,HOBBY PET,1,$215.08,AA
CA31266,ISLA CON PLANTAS P/TORTUGAS,$129.00,67,HOBBY PET,1,$258.00,AA
CA31255,CUEVA VOLCANICA XXL,$185.35,13,HOBBY PET,1,$370.71,AAA
BP9494,GOLDFISH & CARPAS KOI 1 LTO.,$67.97,104,BIOPRO,16,$135.95,AAA
BP9599,COLOR FOOD 4 MM. 1 LTO.,$76.40,97,BIOPRO,16,$152.81,AAA
SVRS2,*AL.ALGA ROJA 12 GR.(OF),$106.63,44,TWO LITTLE,72,$212.78,AAA
SVGS2,*AL.ALGA VERDE 12 GR.(OF),$126.40,28,TWO LITTLE,72,$252.68,AAA
